,txt,word_count
0,1 per 1 gelombang kebenaran muncul di setiap daerah,9
1,A9 2020 harganya Rp 36 jutaan dan mempunyai fitur yang tak kalah dengan ponsel lainnya,15
2,Aa sudah berkeliling lah Indonesia banyak negara yang Aa kunjungin bersama Ungu,12
3,Abang kandung korban Hendri mengungkapkan saat ini keluarga sedang menunggu hasil autopsi dari pihak Rumah Sakit Bhayangkara Medan,18
4,ABC telah menunjukkan cara memalukan pemerintah dan pengadu yang terlibat dalam hal ini,13
5,Abdul Karim ditetapkan sebagai tersangka setelah polisi menyelidiki dan memeriksa saksisaksi,11
6,Absennya Neymar tak membuat PSG kesulitan dalam membongkar pertahanan lawan,10
7,Abu Bakar Baasyir Foto  Okezone,5
8,Abu juga mengatakan perbaikan ruang wudhu juga belum sepenuhnya selesai,10
9,Acara berlangsung di rumah dinas Wali Kota Padang Jalan A Yani Nomor 11 Kota Padang,15
10,Acara ini dihadiri oleh Camat Sungai Selan Lurah Sungai Selan Koordinator BPP Sungaiselan PPL Kecamatan Sungai Selan para Penyuluh Pertanian,20
11,Acara ini juga didukung oleh TV Desa,7
12,Acara musik organ tunggal pun kerap dilakukannya,7
13,Acaranya dapat berjalan dengan lancar,5
14,Acaranya kebetulan diadakan pas di hari PSBB digelar tanggal 1415 pungkasnya,11
15,Acara PKKMB digelar secara Luring dan Daring melalui aplikasi Zoom dengan mengusung tema Generasi Muda Kreatif di Era Industri 40,20
16,Acara takbir virtualnya dan kata sambutan dibawakan para gubernur ujar Abu,11
17,Acara tersebut akan digelar pada 5 Desember 2020,8
18,Acara tersebut dibuka oleh penampilan Dewi Persik dan Nita Thalia yang berduet menyanyikan Haning dari Nella Kharisma,17
19,Acara yang sukses dilaksanakan secara daring ini menghadirkan Dr Emil Elestianto Dardak MSc Wakil Gubernur Jawa Timur KH,18
20,AC Milan Bisa Imbangi Juventus Stefano Pioli Saya Sangat Bangga,10
21,Ada 28 pemain nanti yang akan dibawa ke Chiang Mai,10
22,Ada 83022 kasus positif Covid19 di China dengan 4634 kematian dan 78319 yang sudah sembuh,15
23,Ada  ada saja tingkah Syahrini yang berhasil membuat dirinya dan sang suami selalu menjadi sorotan netizen,16
24,Ada alasan kenapa sebaiknya hindari menggunakan gendongan agar bayi tidur,10
25,"Ada banyak permintaan manggung sebelum pandemi
27	Ada banyak perusahaan memberikan kesempatan dan pendapatan gaji yang mumpuni bagi para pekerjanya
28	Ada beberapa catatan",24
26,Ada beberapa jabatan yang perlu diisi oleh pegawai dengan kemampuan khusus,11
27,Ada beberapa jawaban pertanyaan yang tak disukai HRD saat wawancara kerja,11
28,Ada beberapa kasus positif tanpa gejala yang akan kita lakukan karantina kita isolasi di rumahnya secara mandiri kata Yuri Senin,20
29,Ada beberapa kriteria penilaian lomba karaoke,6
30,Ada beberapa lagi yang memang terkait ini mau kita periksa kata Anam di kantor Komnas HAM Menteng Jakarta Pusat Selasa,20
31,Ada beberapa motif yang mereka kembangkan,6
32,Ada begitu banyak cerita soal Percival Towell dan Clyde Tombaugh,10
33,Ada dua jenis penyu yang hidup dan berkembang biak di perairan Bumi Batiwakkal itu yakni penyu hijau dan penyu sisik,20
34,Ada dugaan tingginya kasus corona di Jawa Barat berasal dari klaster baru yakni klaster institusi kenegaraan atau dari klaster Sekolah,20
35,Ada empat BBTKLPP di daerah DKI Jakarta Yogyakarta Surabaya dan Banjarbaru,11
36,Ada empat BPD yang telah dititipkan uang pemerintah dalam memulihkan ekonomi Indonesia,12
37,Ada hotel restoran,3
38,"Ada hujan disertai dengan angin kencang
42	Ada juga warganet yang mempertanyakan kenapa hingga kini dana sebesar Rp12 juta tak juga masuk",22
39,Ada lagi masalah ketika pembeli ingin pre order sistemnya jadi berebut,11
40,Adalah dengan mengandalkan dan memasarkan mobil dengan kualitas yang lebih tinggi dengan harga yang murah,15
41,Adalah Karso Dikromo alias Karso Djukut warga Dukuh Sawit Desa Ngerangan yang mengawali berjualan makanan dan minuman menggunakan pikulan tumbu,20
42,Adalah Lina Meong yang akan mendampingi dia untuk menjadi Fangtatis pun mengaku sangat bisa bekerja sama dengan Lina Meong,19
43,Ada larangan mutlak untuk meninggalkan rumah bagi siapa saja yang dinyatakan positif virus corona,14
44,Ada mufasir mengkhususkan alamin pada ayat ini kepada makhlukmakhluk Allah yang berakal yaitu manusia malaikat dan jin,17
45,Adanya kabar baik tersebut lanjut Ade Yasin tidak terlepas dari peran tenaga medis yang telah berjuang keras untuk menolong para,20
46,Adanya pemeriksaan ini untuk memastikan apakah anggota bebas dari penyakit atau tidak ujarnya,13
47,Adanya pendukung habib yang laporkan Nikita bagus kata Kiki di kawasan Menteng Jakarta Pusat Senin 16112020,16
48,Adanya sifat ini manusia akan selalu bertaqwa kepada Allah Subhanahu wa taala,12
49,Ada para sopir angkutan yang sifatnya mitra dan ada yang memang berstatus karyawan perusahaan transportasi,15
50,Ada perbedaan yang cukup substansial pada dua RUU ini dimana RUU BPIP lebih membahas tugas fungsi wewenang dan struktural organisasi,20
51,Ada pula laporan beberapa dokter dan keluarga mereka dikucilkan para tetangga karena dokterdokter tersebut menangani pasien yang terinfeksi Covid19,19
52,Adapula mereka yang memiliki kemampuan lebih menyumbang uang atau beras,10
53,Ada pula netizen yang menyebut Jin sebagai ARMY penggemar BTS,10
54,Adapun 138 responden lainnya tidak terlalu suka mengikuti kegiatan di luar yang diwajibkan universitasnya,14
55,Adapun angka kematian tertinggi kedua dicatatkan Jawa Timur sebanyak 16 orang diikuti DKI Jakarta dengan jumlah kematian 15 orang,19
56,Adapun berdasarkan penggunaan barang seluruhnya mengalami penurunan impor,8
57,Adapun berkurangnya jumlah kendaraan umum yang melintas di ibukota Provinsi Riau ini berbanding lurus dengan sepinya penumpang karena masyarakat diimbau,20
58,Adapun caranya adalah pertama memberikan data angka catatan meter yang dilakukan petugas pada akhir Mei 2020,16
59,Adapun Danu menjawab diplomatis ketika disinggung soal target senilai Rp438 triliun yang berpeluang dikoreksi pada tahun ini menyusul sentimen virus,20
60,Adapun dari empat hari kunjungan Raja beserta delegasi bakal mengunjungi Jogja Palangkaraya Kalimantan Tengah dan Danau Toba Sumatra Utara,19
61,Adapun dari sisi permintaan DKP berupaya meningkatkan kegiatan promosi pameran gerakan memasyarakatkan makan ikan dan berbagai perlombaan,17
62,Adapun data yang disampaikan Bapak Presiden memang betul dalam beberapa waktu terakhir ini terjadi kenaikan kasus aktif,17
63,Adapun dilaporkan Space Satelit Starlink yang dikirimkan pekan ini telah dilengkapi pelindung khusus,13
64,Adapun Emina Frljak Koordinator Youth for Peace di Bosnia dan Herzegovina mewantiwanti bahwa kegagalan dialog akan meningkatkan eskalasi kekerasan,19
65,Adapun gerai yang ditutup pada Mal Taman Anggrek,8
66,Adapun harga pembelian kembali atau buyback emas berkurang Rp3000 ke posisi Rp837000 per gram dari harga sebelumnya,17
67,Adapun harga tertinggi saat ini adalah Rp 20000tabung dan diperkirakan naik di pertengahan tahun menjadi Rp 35250tabung,17
68,Adapun H Miftahur Rahman selaku penghulu dari KUA Makassar Jakarta Timur memimpin akad nikah,14
69,Adapun istilah relaksasi tempat publik termasuk masjid pada umumnya membuat tempat ibadah umat Islam itu terus melangsungkan kegiatan ibadah dengan,20
70,Adapun iuran yang harus dibayarkan setiap bulannya ratarata sekitar Rp42000 per orang,12
71,Adapun Iyut termasuk kategori korban penyalahgunaan narkotika sedang,8
72,Adapun jarak tempuh sepeda dihitung menggunakan aplikasi Strava,8
73,Adapun jumlah alat tes yang disediakan untuk kwasan Pasar Binjai sebanyak 250 pieces,13
74,Adapun jumlah korban penipuan kedua pelaku mencapai sepuluh orang,9
75,Adapun juru pelihara cagar budaya yang menerima bantuan dari Pemprov antara lain,12
76,Adapun kedua artis itu yang baru saja berlangsungkan pernikahan secara negara di KUA Karang Bahagia Cikarang,16
77,Adapun komposisi asal wilayah lender mengalami peningkatan pada semua tempat didominasi dari Jawa sebanyak 542837 entitas Luar Jawa sebanyak 112453,20
78,Adapun merujuk pada kondisi pasar obligasi korporasi nasional yang didominasi investor domestik serta pilihan asset class yang terbatas dia menilai,20
79,Adapun modusnya menumpuk ganja tersebut dengan buku Lembar Kerja Siswa LKS,11
80,Adapun nilai tukar Rupiah pada 16 Desember menguat 063 secara rerata meskipun melemah terbatas 004 secara point to point dibandingkan,20
81,Adapun Pasal 77 ayat 2 huruf b mengatur soal waktu kerja 8 jam per hari dan 40 jam dalam seminggu,20
82,Adapun pembangunannya menelan total anggaran untuk tiga tower dengan ketinggian 25 lantai tersebut senilai Rp 9614 miliar,17
83,Adapun persyaratan yang harus dipersiapakan Pemohon sebelum mengajukan permohonan SIKM,10
84,Adapun program untuk menyalurkan kredit kepada pelaku UMKM yang telah masuk ke ekosistem digital,14
85,Adapun rasio kredit bermasalah tertinggi berada pada sektor perdagangan dengan nilai 432 pada Mei 2020,15
86,Adapun rinciannya hingga 12 Oktober 2020 subsidi gaji atau upah tahap I telah tersalurkan kepada 2485687 penerima atau sekitar 9943,20
