,text,result,time
0,Ibu pernah bekerja di grab indonesia,!awu pernah menggawe ning grab ï»¿cerbon,0.01001882553100586
1,Pelayanan bus DAMRI sangat baik,pelayanan bus damri banget bagus,0.031029462814331055
2,Mau bikin postingan yang isinya mengedukasi customers gojek.,gelem !batin postingan kang !singa !nemokaken customers gojek,0.010946989059448242
3,Ratusan rumah di medan terendam banjir,ratusan umah ning medan !ngedem banjir,0.008053064346313477
4,Sulit sekali mempercayai orang yang sudah pernah berkhianat,!asat sapisan !dedangdan wong kang wis pernah berkhianat,0.009966135025024414
5,Kopi starbucks kenapa bisa enak banget sih,kopi !sabuk kenangapa !karian gurih !awang-awang sih,0.010033845901489258
6,Aku iri melihat kalian yang bisa menemukan kebahagiaan.,kita dengki mendelik !bagian kang !karian nemokaken kebahagiaan,0.03296518325805664
7,Obat tanpa resep sebaiknya dihindari ibu menyusui,tamba !takon resep sebaiknya dihindari !awu menyusui,0.009020328521728516
8,"Semakin banyak tahu, semakin cemburu.",!wingi pirang-pirang weruh !wingi cemburu,0.01001429557800293
9,Rumah itu memiliki pagar besar berwarna hitam.,umah iku !perih (weteng) pagar !bener !bareng ireng,0.009999990463256836
10,Ayah saya merupakan seorang pegawai net tv,bape !bae !kanggo (terpakai) !agi pegawai !nih !untuk,0.01249837875366211
11,Indomie banyak ditemukan di warung-warung terdekat.,!indominya pirang-pirang !nemokaken ning warungwarung !marek,0.03200030326843262
12,Sulit sekali mengerti orang yang merasa selalu benar,!asat sapisan ngerti wong kang rumasa !nuli bener,0.009013891220092773
13,Masakan restoran ini rata-rata tidak enak.,masakan restoran kiyen !rata-rata ora gurih,0.008965253829956055
14,DHL sedang membuka lowongan pekerjaan untuk customer service,dhl agi !gawe lowongan pegawean pranti customer service,0.008034944534301758
15,Indosat adalah penyebab gue marah tiap hari,indosat !getih !getun !jabur umbang !ajeg !ayu (ayo),0.012965202331542969
16,"Menyesal nih gue kasih tahu loe, Farrel",getun nih !jabur !masih weruh !banjur farrel,0.032000064849853516
17,Bali punya banyak pulau yang bisa dikunjungi.,bali duwe pirang-pirang pulau kang !karian !alem,0.009034872055053711
18,"Ditunggu saja, pasti dikasih. Biasa maksimal seminggu kok",!tunggu bae karuan !demenan !bagen maksimal seminggu kok,0.010999679565429688
19,Bogor akan dipimpin kembali oleh bima arya.,bogor garep dipimpin balik !oli bima arya,0.007968902587890625
20,Banyak keluarga saya yang bekerja sebagai pegawai negeri,pirang-pirang keluwarga !bae kang menggawe sebagai pegawai negeri,0.008031368255615234
21,Bikin macet jalan saja nih orang,!batin macet dermaga bae nih wong,0.030948877334594727
22,Bni tingkatkan branding melalui stasiun bni city,bni tingkatkan branding melalui stasiun bni city,0.00699925422668457
23,Dia memakan susu indomilk di dalam kulkas,deweke memakan susu (sapi) indomilk ning jero kulkas,0.0069980621337890625
24,Ramayana kembali membuka cabangnya di samarinda,ramayana balik !gawe !barangnya ning samarinda,0.010004520416259766
25,Pagi yang melelahkan rasanya ingin diam saja,esuk kang !lendek !jare pengen meneng bae,0.008995532989501953
26,Bidang lo bukan di dunia politik oon!,bidang !untuk dudu ning !goroh politik !gegulat,0.035204410552978516
27,Tiket waterboom PIK jakarta dikabarkan naik,tiket waterboom pik jakarta !cutlik unggah,0.011000871658325195
28,"Rcti terlalu banyak iklan tidak jelas, sangat menggangu",rcti !akur pirang-pirang iklan ora !gelas banget !ndlongop,0.011999368667602539
29,Temanku melamar pekerjaan di tokopedia,!babu !mengedukasi pegawean ning tokopedia,0.014008283615112305
30,"Enkaolshop, terpercaya, barangnya bagus bagus",enkaolshop !percaya barangnya kasep kasep,0.011991500854492188
31,Pagi pagi ingin marah dengan sinyal telkomsel.,esuk esuk pengen umbang karo sinyal telkomsel,0.03400063514709473
32,Payah sekali pelayanan pos indonesia saat ini,parah sapisan pelayanan pos ï»¿cerbon !arit kiyen,0.011008262634277344
33,Pelajaran matematika anak sd sekarang sulit sulit,pelajaran matematika anak sd sakiyen (kiyen) !asat !asat,0.010990381240844727
34,Maling yang sebenarnya sudah di pastikan bernama lulung,maling kang sabenere wis ning !sandangan !agrong lulung,0.016013622283935547
35,Nike mengeluarkan produk sepatu terbarunya,nike ngetokaken produk sepatu !muni,0.014005899429321289
36,Sangat melelahkan malam ini.,banget !lendek bengi kiyen,0.03699374198913574
37,Rizal ramli beberkan cara stabilkan harga beras,rizal ramli !beberkan cara stabilkan rega beras,0.012999773025512695
38,Daun memiliki berbagai jenis bentuk.,godong !perih (weteng) !sebagai !zakar bentuk,0.014009952545166016
39,"Berubah status jadi universitas, bsi gelar seminar motivasi",!robah status sida universitas bsi gelar seminar motivasi,0.010990619659423828
40,Adikku diterima di teknik lingkungan ITB,!sedulur nom !terima ning teknik lingkungan itb,0.042001962661743164
